Время,Монета,"Спред, %","Прибыль, USDT"
2025-04-07T04:11:37.382408,CELR,7.19,71.94
2025-04-07T04:12:38.056284,CELR,7.42,74.2
2025-04-07T04:12:38.056284,PEOPLE,4.89,48.88
2025-04-07T04:13:38.568714,CELR,7.14,71.4
2025-04-07T04:13:38.568714,PEOPLE,4.29,42.95
2025-04-07T04:14:39.338348,CELR,7.03,70.35
2025-04-07T04:14:39.338348,PEOPLE,4.1,40.99
2025-04-07T04:15:39.898246,CELR,7.15,71.5
2025-04-07T04:15:39.898246,PEOPLE,4.25,42.54
2025-04-07T04:16:40.894548,CELR,7.21,72.07
2025-04-07T04:16:40.894548,PEOPLE,3.93,39.26
2025-04-07T04:17:41.444473,CELR,6.68,66.79
2025-04-07T04:18:41.934992,CELR,6.57,65.68
2025-04-07T04:18:41.934992,PEOPLE,3.01,30.06
2025-04-07T04:19:42.657102,CELR,6.54,65.43
2025-04-07T04:19:42.657102,PEOPLE,3.44,34.43
2025-04-07T04:20:43.138192,CELR,6.86,68.57
2025-04-07T04:20:43.138192,PEOPLE,3.29,32.85
2025-04-07T04:21:43.623409,CELR,6.26,62.63
2025-04-07T04:21:43.623409,PEOPLE,3.28,32.8
2025-04-07T04:22:44.233689,CELR,6.39,63.93
2025-04-07T04:22:44.233689,PEOPLE,3.09,30.89
2025-04-07T04:23:44.734710,CELR,6.46,64.59
2025-04-07T04:24:45.228698,CELR,6.39,63.88
2025-04-07T04:25:45.788790,CELR,6.12,61.22
2025-04-07T04:26:46.322483,CELR,6.08,60.82
2025-04-07T04:27:46.827624,CELR,5.82,58.22
2025-04-07T04:28:47.342361,CELR,6.13,61.35
2025-04-07T04:29:47.890452,CELR,6.2,61.99
2025-04-07T04:29:47.890452,VET,3.31,33.13
2025-04-07T04:30:48.377820,CELR,6.08,60.78
2025-04-07T04:30:48.377820,VET,3.18,31.78
2025-04-07T04:31:48.875968,CELR,6.3,62.97
2025-04-07T04:31:48.875968,VET,3.43,34.25
2025-04-07T04:32:49.492072,CELR,6.45,64.51
2025-04-07T04:33:50.791460,CELR,6.12,61.17
2025-04-07T04:34:51.338117,CELR,5.69,56.9
2025-04-07T04:35:51.817545,CELR,5.65,56.47
2025-04-07T04:36:52.335980,CELR,6.29,62.91
2025-04-07T04:37:52.972274,CELR,6.16,61.6
2025-04-07T04:38:53.499260,CELR,5.76,57.61
2025-04-07T04:39:53.999373,CELR,5.72,57.23
2025-04-07T04:40:55.212236,CELR,6.14,61.45
2025-04-07T04:41:55.704288,CELR,6.35,63.54
2025-04-07T04:42:56.374931,CELR,6.2,62.01
2025-04-07T04:43:57.214506,CELR,6.45,64.54
2025-04-07T04:44:57.761520,CELR,6.21,62.09
2025-04-07T04:45:58.309356,CELR,6.52,65.15
2025-04-07T04:46:58.787092,CELR,6.47,64.73
2025-04-07T04:47:59.303015,CELR,6.32,63.18
2025-04-07T04:48:59.819664,CELR,6.3,62.96
2025-04-07T04:50:00.367490,CELR,6.43,64.27
2025-04-07T04:51:01.002380,CELR,6.22,62.15
2025-04-07T04:52:01.588975,CELR,5.88,58.8
2025-04-07T04:53:02.272454,CELR,5.98,59.78
2025-04-07T04:54:02.782806,CELR,6.43,64.31
2025-04-07T04:55:03.321536,CELR,6.56,65.64
2025-04-07T04:56:03.878246,CELR,6.63,66.27
2025-04-07T04:57:04.395327,CELR,6.42,64.21
2025-04-07T04:58:04.900028,CELR,6.34,63.41
2025-04-07T04:59:05.440472,CELR,6.41,64.15
2025-04-07T05:00:06.403265,CELR,6.4,64.04
2025-04-07T05:01:06.968997,CELR,5.96,59.59
2025-04-07T05:02:07.458809,CELR,6.55,65.52
2025-04-07T05:03:08.172364,CELR,7.14,71.35
2025-04-07T05:04:08.980134,CELR,6.89,68.92
2025-04-07T05:05:09.502504,CELR,7.28,72.79
2025-04-07T05:06:10.045777,CELR,6.83,68.27
2025-04-07T05:07:10.537385,CELR,6.77,67.68
2025-04-07T05:07:10.537385,ANKR,3.87,38.71
2025-04-07T05:07:10.537385,SYS,3.01,30.07
2025-04-07T05:08:11.104107,CELR,7.06,70.63
2025-04-07T05:08:11.104107,ANKR,4.15,41.49
2025-04-07T05:08:11.104107,SYS,3.0,30.03
2025-04-07T05:09:11.615004,CELR,6.67,66.69
2025-04-07T05:09:11.615004,ANKR,4.06,40.64
2025-04-07T05:10:12.143027,CELR,6.96,69.59
2025-04-07T05:10:12.143027,ANKR,3.91,39.11
2025-04-07T05:11:12.788780,CELR,6.39,63.88
2025-04-07T05:11:12.788780,ANKR,3.8,38.04
2025-04-07T05:12:13.354684,CELR,5.9,59.04
2025-04-07T05:12:13.354684,ANKR,3.27,32.72
2025-04-07T05:13:14.020295,ANKR,3.16,31.64
2025-04-07T05:14:14.513060,ANKR,3.43,34.31
2025-04-07T05:15:15.024353,ANKR,3.32,33.21
2025-04-07T05:16:15.539481,ANKR,3.39,33.92
2025-04-07T05:17:16.214331,ANKR,3.8,38.0
2025-04-07T05:18:17.159999,ANKR,3.56,35.56
2025-04-07T05:19:17.807636,ANKR,3.42,34.18
2025-04-07T05:20:18.371318,ANKR,3.55,35.48
2025-04-07T05:21:18.957817,ANKR,3.52,35.16
2025-04-07T05:22:19.451608,ANKR,3.46,34.63
2025-04-07T05:23:20.197442,ANKR,3.48,34.85
2025-04-07T05:24:20.761082,ANKR,3.42,34.21
2025-04-07T05:25:21.287119,ANKR,3.64,36.4
2025-04-07T05:26:21.798304,ANKR,3.59,35.91
2025-04-07T05:27:22.302561,ANKR,3.69,36.95
2025-04-07T08:23:18.520551,CELR,8.59,85.91
2025-04-07T08:23:18.520551,RVN,5.01,50.14
2025-04-07T08:23:18.520551,ZIL,3.37,33.66
2025-04-07T08:23:18.520551,IOTX,3.27,32.68
2025-04-07T08:24:19.230629,CELR,8.55,85.48
2025-04-07T08:24:19.230629,RVN,4.83,48.27
2025-04-07T08:24:19.230629,IOTX,3.4,34.0
2025-04-07T08:24:19.230629,ZIL,3.08,30.81
2025-04-07T08:25:20.098397,CELR,8.36,83.61
2025-04-07T08:25:20.098397,RVN,4.68,46.84
2025-04-07T08:25:20.098397,IOTX,3.43,34.29
2025-04-07T08:25:20.098397,ZIL,3.16,31.57
2025-04-07T08:26:20.583854,CELR,8.35,83.46
2025-04-07T08:26:20.583854,RVN,4.85,48.53
2025-04-07T08:26:20.583854,IOTX,3.33,33.28
2025-04-07T08:26:20.583854,ZIL,3.21,32.11
2025-04-07T08:27:21.127327,CELR,8.49,84.85
2025-04-07T08:27:21.127327,RVN,4.95,49.5
2025-04-07T08:27:21.127327,IOTX,3.38,33.75
2025-04-07T08:27:21.127327,ZIL,3.3,33.05
2025-04-07T08:28:21.637846,CELR,8.14,81.36
2025-04-07T08:28:21.637846,RVN,4.58,45.77
2025-04-07T08:28:21.637846,GALA,3.97,39.68
2025-04-07T08:28:21.637846,ACH,3.57,35.68
2025-04-07T08:28:21.637846,IOTX,3.21,32.14
2025-04-07T08:29:22.179985,CELR,8.29,82.94
2025-04-07T08:29:22.179985,RVN,4.62,46.19
2025-04-07T08:29:22.179985,GALA,4.04,40.37
2025-04-07T08:29:22.179985,ACH,3.55,35.51
2025-04-07T08:29:22.179985,IOTX,3.3,33.04
2025-04-07T08:30:22.690006,CELR,8.12,81.16
2025-04-07T08:30:22.691005,RVN,4.45,44.47
2025-04-07T08:30:22.691005,ACH,3.78,37.76
2025-04-07T08:30:22.691005,GALA,3.62,36.16
2025-04-07T08:31:23.203705,CELR,8.28,82.77
2025-04-07T08:31:23.203705,RVN,4.42,44.15
2025-04-07T08:31:23.203705,ACH,3.8,38.04
2025-04-07T08:31:23.203705,GALA,3.23,32.26
2025-04-07T08:31:23.203705,IOTX,3.05,30.54
2025-04-07T08:32:23.771312,CELR,8.06,80.61
2025-04-07T08:32:23.771312,RVN,4.58,45.78
2025-04-07T08:32:23.771312,GALA,3.67,36.66
2025-04-07T08:32:23.771312,ACH,3.63,36.32
2025-04-07T08:33:24.276254,CELR,8.14,81.36
2025-04-07T08:33:24.276254,PEOPLE,5.89,58.93
2025-04-07T08:33:24.276254,RVN,4.87,48.73
2025-04-07T08:33:24.276254,ACH,3.87,38.75
2025-04-07T08:33:24.276254,GALA,3.74,37.38
2025-04-07T08:33:24.276254,IOTX,3.13,31.29
2025-04-07T08:33:24.276254,ZIL,3.12,31.19
2025-04-07T08:34:24.970098,CELR,8.38,83.76
