Время,Монета,"Спред, %","Прибыль, USDT"
2025-04-06T07:53:25.987523,POND,4.28,42.83
2025-04-06T07:53:25.987523,PEOPLE,3.33,33.3
2025-04-06T07:53:25.987523,TRU,2.56,25.6
2025-04-06T07:53:25.987523,ARPA,2.02,20.23
2025-04-06T07:53:25.987523,ACH,1.91,19.06
2025-04-06T07:53:25.987523,SYS,1.84,18.36
2025-04-06T07:53:25.987523,ROSE,1.77,17.73
2025-04-06T07:53:25.987523,DODO,1.49,14.89
2025-04-06T07:53:25.987523,ALT,1.01,10.08
2025-04-06T07:54:26.955070,POND,4.4,44.02
2025-04-06T07:54:26.955070,PEOPLE,3.33,33.29
2025-04-06T07:54:26.955070,TRU,2.56,25.59
2025-04-06T07:54:26.955070,ARPA,2.07,20.67
2025-04-06T07:54:26.955070,ACH,2.0,20.02
2025-04-06T07:54:26.955070,ROSE,1.77,17.73
2025-04-06T07:54:26.955070,SYS,1.55,15.52
2025-04-06T07:54:26.955070,DODO,1.49,14.88
2025-04-06T07:54:26.955070,ALT,1.19,11.95
2025-04-06T07:55:27.506944,POND,4.4,43.99
2025-04-06T07:55:27.506944,PEOPLE,3.33,33.26
2025-04-06T07:55:27.506944,TRU,2.22,22.23
2025-04-06T07:55:27.506944,ARPA,2.06,20.65
2025-04-06T07:55:27.506944,ACH,1.9,19.03
2025-04-06T07:55:27.506944,SYS,1.83,18.33
2025-04-06T07:55:27.506944,ROSE,1.77,17.7
2025-04-06T07:55:27.506944,DODO,1.49,14.86
2025-04-06T07:55:27.506944,ALT,1.19,11.92
2025-04-06T07:55:27.506944,ZK,1.11,11.11
2025-04-06T07:56:28.095323,POND,4.35,43.51
2025-04-06T07:56:28.095323,PEOPLE,3.2,31.99
2025-04-06T07:56:28.095323,TRU,2.51,25.1
2025-04-06T07:56:28.095323,ARPA,1.97,19.74
2025-04-06T07:56:28.095323,ACH,1.95,19.53
2025-04-06T07:56:28.095323,ROSE,1.64,16.38
2025-04-06T07:56:28.095323,SYS,1.5,15.03
2025-04-06T07:56:28.095323,DODO,1.44,14.4
2025-04-06T07:56:28.096323,ALT,1.18,11.83
2025-04-06T07:56:28.096323,ZK,1.06,10.65
2025-04-06T07:57:28.577608,POND,4.32,43.19
2025-04-06T07:57:28.577608,PEOPLE,3.17,31.67
2025-04-06T07:57:28.577608,TRU,2.48,24.78
2025-04-06T07:57:28.577608,ACH,1.97,19.7
2025-04-06T07:57:28.577608,ARPA,1.94,19.42
2025-04-06T07:57:28.577608,ROSE,1.74,17.35
2025-04-06T07:57:28.577608,SYS,1.47,14.71
2025-04-06T07:57:28.577608,DODO,1.41,14.08
2025-04-06T07:57:28.577608,ALT,1.34,13.4
2025-04-06T07:57:28.577608,MAGIC,1.04,10.45
2025-04-06T07:57:28.577608,ZK,1.03,10.34
2025-04-06T07:58:29.022767,POND,4.43,44.31
2025-04-06T07:58:29.022767,PEOPLE,3.16,31.59
2025-04-06T07:58:29.022767,TRU,2.47,24.7
2025-04-06T07:58:29.022767,ARPA,1.93,19.34
2025-04-06T07:58:29.022767,ACH,1.91,19.14
2025-04-06T07:58:29.022767,SYS,1.75,17.47
2025-04-06T07:58:29.022767,ROSE,1.68,16.84
2025-04-06T07:58:29.022767,DODO,1.4,14.0
2025-04-06T07:58:29.022767,ALT,1.26,12.57
2025-04-06T07:58:29.022767,MAGIC,1.04,10.37
2025-04-06T07:58:29.022767,ZK,1.03,10.26
2025-04-06T08:43:51.639888,POND,4.71,47.09
